reward_calculator_name,feature_constructor_used_features,acceptance_rate,avg_r2c_ratio,long_term_time_r2c_ratio,long_term_avg_time_revenue,success_count,early_rejection_count,place_failure_count,route_failure_count,total_cost,total_revenue,total_time_revenue,total_time_cost,long_term_r2c_ratio,total_simulation_time,long_term_avg_revenue,long_term_avg_cost,min_p_net_available_resource,min_p_net_node_available_resource,min_p_net_link_available_resource,max_inservice_count,total_violation,total_max_single_step_violation,avg_reward,solver_name,seed,p_net_dataset_dir,v_nets_dataset_dir,run_id,start_run_time,clock_running_time
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.656,0.3353698466418711,0.4650252706611184,2765.706633330252,656,0,0,344,305151.0,141738.0,69007146.20822312,148394400.3948793,0.46448479605179077,24951.0,5.680654082000721,12.230010821209572,30377,6486,23891,21,11236.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250514T191620,20250514T191638,165.63034415245056
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.762,0.3995453765643624,0.46906874855208874,3461.5712839595317,762,0,0,238,387755.0,181654.0,86369665.10607427,184130077.67556095,0.46847622854637594,24951.0,7.280429642098513,15.540659692998277,30604,6329,24258,24,9370.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T005643,20250515T005659,171.0664577484131
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.704,0.35765680829579627,0.4568321935614778,3001.6036363656144,704,0,0,296,333609.0,152051.0,74893012.33095844,163939874.17368776,0.455776073187474,24951.0,6.093984209049737,13.370566309967536,31898,6332,25484,24,11224.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T030553,20250515T030625,188.21955800056458
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.703,0.3574393576515481,0.45341339187181723,3027.054031739178,703,0,0,297,344790.0,158115.0,75528025.14592423,166576520.45547977,0.4585834855999304,24951.0,6.337020560298185,13.818684621858843,30753,6245,24342,22,11055.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T035300,20250515T035317,183.11015820503235
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.73,0.37833313796657597,0.46693867375828935,3548.5112537336263,730,0,0,270,366020.0,172097.0,88538904.29190771,189615701.73504165,0.4701846893612371,24951.0,6.897398901847621,14.669552322552203,32362,6140,26016,22,8760.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T040840,20250515T040856,162.2241508960724
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.73,0.37833313796657597,0.46693867375828935,3548.5112537336263,730,0,0,270,366020.0,172097.0,88538904.29190771,189615701.73504165,0.4701846893612371,24951.0,6.897398901847621,14.669552322552203,32362,6140,26016,22,8760.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T041213,20250515T041232,192.8585169315338
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.73,0.37833313796657597,0.46693867375828935,3548.5112537336263,730,0,0,270,366020.0,172097.0,88538904.29190771,189615701.73504165,0.4701846893612371,24951.0,6.897398901847621,14.669552322552203,32362,6140,26016,22,8760.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T042127,20250515T042144,163.4885139465332
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.66,0.3594209686709254,0.49310438870500733,8043.579705125063,33,0,0,17,13082.0,6417.0,3925266.8961010305,7960316.285988818,0.490521327014218,488.0,13.149590163934427,26.807377049180328,37389,6648,30741,16,381.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T043841,20250515T043930,7.499722003936768
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.84,0.43968945321535885,0.5025989827969269,10013.836864609868,42,0,0,8,19824.0,9676.0,4886752.389929616,9722965.141583042,0.4880952380952381,488.0,19.827868852459016,40.622950819672134,37430,6769,30515,19,289.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T044110,20250515T044134,8.54975175857544
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.66,0.3594209686709254,0.49310438870500733,8043.579705125063,33,0,0,17,13082.0,6417.0,3925266.8961010305,7960316.285988818,0.490521327014218,488.0,13.149590163934427,26.807377049180328,37389,6648,30741,16,381.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T045940,20250515T045951,9.309348821640015
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.78,0.38580008481707095,0.46620542942590426,10931.625133415808,39,0,0,11,20402.0,9337.0,5334633.065106914,11442666.104674285,0.45765121066562103,488.0,19.133196721311474,41.807377049180324,31349,6461,24888,17,338.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T050616,20250515T050703,9.838654041290283
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.68,0.32739812499726234,0.4830223479420696,9300.735219638234,34,0,0,16,14601.0,6687.0,4538758.787183458,9396581.351817299,0.4579823299773988,488.0,13.702868852459016,29.920081967213115,35633,6535,29098,16,566.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T051107,20250515T051114,8.515934944152832
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.8,0.4003375924923768,0.4587103025696366,9577.796840180012,40,0,0,10,20112.0,9349.0,4673964.8580078455,10189360.979740134,0.46484685759745425,488.0,19.1577868852459,41.21311475409836,33184,6718,26466,18,573.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T051202,20250515T051208,11.955558061599731
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.74,0.37566773085302446,0.44739221803258405,10320.142341724944,37,0,0,13,17934.0,8267.0,5036229.462761773,11256855.304521589,0.460967993754879,488.0,16.940573770491802,36.75,32924,6790,26127,17,598.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T052938,20250515T052958,12.036553382873535
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.78,0.38238783210378363,0.5005378071592111,8437.558414115158,39,0,0,11,16768.0,7912.0,4117528.506088197,8226208.7842217535,0.47185114503816794,488.0,16.21311475409836,34.36065573770492,33804,6187,27617,18,487.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T053043,20250515T053056,12.294566869735718
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.88,0.44979959238537065,0.48163204969526535,10586.964843437889,44,0,0,6,22675.0,10815.0,5166438.84359769,10726941.545660345,0.4769570011025358,488.0,22.16188524590164,46.46516393442623,33235,6408,26770,19,256.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T054456,20250515T054513,8.333855152130127
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.82,0.42673078094756145,0.47580141122206304,11903.66525864835,41,0,0,9,21428.0,10187.0,5808988.646220395,12208851.233333692,0.4754060108269554,488.0,20.875,43.90983606557377,37740,6564,31052,20,364.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T055927,20250515T055949,9.024835109710693
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.86,0.44147350067560337,0.5010224929807809,9833.443803651566,43,0,0,7,19937.0,9905.0,4798720.576181964,9577854.574217772,0.4968149671465115,488.0,20.297131147540984,40.85450819672131,38193,6498,31624,19,169.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T060746,20250515T060751,9.336578130722046
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.82,0.408711239334055,0.4695814298812104,11238.563280360166,41,0,0,9,20170.0,9298.0,5484418.880815761,11679377.700696448,0.4609816559246406,488.0,19.05327868852459,41.33196721311475,34084,6303,27622,20,267.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T060933,20250515T060941,10.640486717224121
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.82,0.40008006363681425,0.46724292164068554,14557.799684387817,41,0,0,9,22330.0,10428.0,7104206.245981255,15204524.064346254,0.4669950738916256,488.0,21.368852459016395,45.75819672131148,34221,6299,27922,19,364.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T061145,20250515T061151,9.843333005905151
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.78,0.3941044919729504,0.4565630156002186,12716.932546094138,39,0,0,11,17649.0,8125.0,6205863.082493939,13592566.34998222,0.46036602640376223,488.0,16.649590163934427,36.165983606557376,33059,6442,26617,21,466.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T061544,20250515T061621,9.283579111099243
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.82,0.4225015682106595,0.4699432497309907,12547.24706369646,41,0,0,9,20626.0,9893.0,6123056.567083873,13029353.162512474,0.4796373509163192,488.0,20.272540983606557,42.26639344262295,34014,6417,27593,18,279.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T061910,20250515T061915,10.446317911148071
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.84,0.4462049279432837,0.48403523007770083,13922.916254927339,42,0,0,8,21067.0,10155.0,6794383.132404542,14036959.936395247,0.4820335121279727,488.0,20.809426229508198,43.170081967213115,32848,6303,26541,21,233.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T062133,20250515T062138,9.742125034332275
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.78,0.4123568914767569,0.5067829921715811,7430.6377864866145,39,0,0,11,16616.0,8177.0,3626151.239805468,7155234.67799757,0.49211603273952814,488.0,16.756147540983605,34.049180327868854,34870,6505,28365,17,471.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T062602,20250515T062643,8.342411994934082
fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.9,0.4880166314593864,0.4920557233950997,15305.244203721206,45,0,0,5,22642.0,11194.0,7468959.171415948,15179092.156232666,0.4943909548626446,488.0,22.938524590163933,46.39754098360656,37679,6699,30882,22,250.0,-inf,0,ffd_rank,0,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/50-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50],Stephens-MacBook-Pro-2.local-20250515T063400,20250515T063404,11.976221084594727
